state,year,unemployment_rate
Alabama,2019.0,3.2   
Alaska,2019.0,5.6   
Arizona,2019.0,4.8   
Arkansas,2019.0,3.5   
California,2019.0,4.1   
Los Angeles County,2019.0,4.5   
Colorado,2019.0,2.7   
Connecticut,2019.0,3.6   
Delaware,2019.0,3.6   
District of Columbia,2019.0,5.5   
Florida,2019.0,3.2   
Georgia,2019.0,3.6   
Hawaii,2019.0,2.5   
Idaho,2019.0,2.9   
Illinois,2019.0,4.0   
Indiana,2019.0,3.3   
Iowa,2019.0,2.7   
Kansas,2019.0,3.2   
Kentucky,2019.0,4.1   
Louisiana,2019.0,4.6   
Maine,2019.0,2.9   
Maryland,2019.0,3.4   
Massachusetts,2019.0,3.0   
Michigan,2019.0,4.1   
Minnesota,2019.0,3.3   
Mississippi,2019.0,5.5   
Missouri,2019.0,3.2   
Montana,2019.0,3.5   
Nebraska,2019.0,3.1   
Nevada,2019.0,4.1   
New Hampshire,2019.0,2.6   
New Jersey,2019.0,3.5   
New Mexico,2019.0,5.0   
New York,2019.0,3.9   
New York city,2019.0,4.0   
North Carolina,2019.0,3.9   
North Dakota,2019.0,2.2   
Ohio,2019.0,4.1   
Oklahoma,2019.0,3.1   
Oregon,2019.0,3.7   
Pennsylvania,2019.0,4.3   
Rhode Island,2019.0,3.5   
South Carolina,2019.0,2.8   
South Dakota,2019.0,2.7   
Tennessee,2019.0,3.3   
Texas,2019.0,3.5   
Utah,2019.0,2.5   
Vermont,2019.0,2.1   
Virginia,2019.0,2.8   
Washington,2019.0,4.2   
West Virginia,2019.0,4.9   
Wisconsin,2019.0,3.2   
Wyoming,2019.0,3.7   
Alabama,2020.0,6.4   
Alaska,2020.0,8.3   
Arizona,2020.0,7.8   
Arkansas,2020.0,6.1   
California,2020.0,10.1   
Los Angeles County,2020.0,12.3   
Colorado,2020.0,6.8   
Connecticut,2020.0,8.0   
Delaware,2020.0,7.5   
District of Columbia,2020.0,8.0   
Florida,2020.0,8.0   
Georgia,2020.0,6.5   
Hawaii,2020.0,11.6   
Idaho,2020.0,5.5   
Illinois,2020.0,9.3   
Indiana,2020.0,7.3   
Iowa,2020.0,5.2   
Kansas,2020.0,5.8   
Kentucky,2020.0,6.5   
Louisiana,2020.0,8.6   
Maine,2020.0,5.1   
