state,year,home_value,unemployment_rate,median_income
Alabama,2023,224284.42303805656,2.5,62027
Alaska,2023,353925.9282788187,4.3,89336
Arizona,2023,423525.5976967868,3.7,76872
Arkansas,2023,205064.65995561637,3.2,58773
California,2023,730116.4657003456,4.7,96334
Colorado,2023,540325.2467402689,3.3,92470
Connecticut,2023,361769.6936385845,3.2,93760
Delaware,2023,370633.4202082695,3.9,82855
District of Columbia,2023,611692.0861937257,4.9,106287
Florida,2023,390680.78105489817,2.9,71711
Georgia,2023,323227.8974555716,3.2,74664
Hawaii,2023,823653.5514550392,2.9,98317
Idaho,2023,446735.7597802714,3.2,74636
Illinois,2023,245951.3512669328,4.5,81702
Indiana,2023,225213.5706585029,3.4,70051
Iowa,2023,205687.0029054984,3.0,73147
Kansas,2023,213852.50202302815,2.9,72639
Kentucky,2023,207669.15256992343,4.2,62417
Louisiana,2023,212905.62355931048,3.7,60023
Maine,2023,367356.5326816898,2.6,71773
Maryland,2023,401930.27913298056,2.2,101652
Massachusetts,2023,575591.7240176544,3.5,101341
Michigan,2023,227290.6668601655,3.9,71149
Minnesota,2023,320303.46087406843,2.8,87556
Mississippi,2023,182278.73207459008,3.1,54915
Missouri,2023,236668.1418127957,3.1,68920
Montana,2023,425394.40822307416,2.7,69922
Nebraska,2023,247553.66838214663,2.3,74985
Nevada,2023,420342.6914340186,5.1,75561
New Hampshire,2023,435117.0172381811,2.3,95628
New Jersey,2023,479951.54061996914,4.3,101050
New Mexico,2023,288598.54040381225,3.7,62125
New York,2023,436144.43010701536,4.0,84578
North Carolina,2023,319954.1834483551,3.5,69904
North Dakota,2023,254876.1848489911,2.0,75949
Ohio,2023,209395.760749994,3.7,69680
Oklahoma,2023,200934.91878007507,3.1,63603
Oregon,2023,484098.03106428887,3.8,80426
Pennsylvania,2023,253503.00379943007,3.7,76081
Rhode Island,2023,425058.016313352,3.0,86372
South Carolina,2023,289604.3291171243,3.0,66818
South Dakota,2023,291021.6285565238,1.8,72421
Tennessee,2023,313546.84151072527,3.3,67097
Texas,2023,305657.7775411721,4.0,76292
Utah,2023,505704.32539506553,2.7,91750
Vermont,2023,372944.5140466536,1.9,78024
Virginia,2023,370711.2088438305,2.7,90974
Washington,2023,564492.2354140725,4.2,94952
West Virginia,2023,154563.9341397161,3.9,57917
Wisconsin,2023,282213.54293867416,2.8,75670
Wyoming,2023,326454.0111486274,2.9,74815
