state,year,home_value
Alabama,2019,158084.31326535397
Alabama,2020,170808.71083013903
Alabama,2021,194232.64329108642
Alabama,2022,218554.76518768308
Alabama,2023,224284.42303805656
Alaska,2019,301079.4167370843
Alaska,2020,312052.21177691984
Alaska,2021,328181.43735324277
Alaska,2022,350571.4623476909
Alaska,2023,353925.9282788187
Arizona,2019,269611.694690298
Arizona,2020,295886.2923850681
Arizona,2021,365920.4358490541
Arizona,2022,441928.48324257875
Arizona,2023,423525.5976967868
Arkansas,2019,149680.67139197452
Arkansas,2020,158734.50268268873
Arkansas,2021,179155.10357754
Arkansas,2022,200133.01306918488
Arkansas,2023,205064.65995561634
California,2019,536967.6540656249
California,2020,563401.3407959783
California,2021,651426.1484425176
California,2022,739682.4099192168
California,2023,730116.4657003456
Colorado,2019,392782.7727996092
Colorado,2020,414764.073157882
Colorado,2021,479160.04335079755
Colorado,2022,550687.6198894894
Colorado,2023,540325.2467402689
Connecticut,2019,251769.9779035584
Connecticut,2020,263071.51829768735
Connecticut,2021,302356.9070557615
Connecticut,2022,336860.87984000175
Connecticut,2023,361769.6936385845
Delaware,2019,269033.0319593866
Delaware,2020,278747.0321933977
Delaware,2021,319880.4162959683
Delaware,2022,356545.87958234973
Delaware,2023,370633.4202082695
District of Columbia,2019,564977.7101239957
District of Columbia,2020,588939.2231254415
District of Columbia,2021,623241.2542480949
District of Columbia,2022,635134.1204458803
District of Columbia,2023,611692.0861937257
Florida,2019,242676.62620598442
Florida,2020,257027.53982653155
Florida,2021,299432.67135770473
Florida,2022,374163.7194970795
Florida,2023,390680.78105489817
Georgia,2019,205147.03849621073
Georgia,2020,220254.26627229454
Georgia,2021,260237.74894080966
Georgia,2022,313410.7985939771
Georgia,2023,323227.8974555716
Hawaii,2019,605524.8663450545
Hawaii,2020,621825.5854880014
Hawaii,2021,695969.2691394858
Hawaii,2022,820544.0625441885
Hawaii,2023,823653.5514550392
Idaho,2019,275023.9891057252
Idaho,2020,312581.42277975136
Idaho,2021,416629.59579567774
Idaho,2022,476069.1434350177
Idaho,2023,446735.7597802714
Illinois,2019,190973.69829386324
Illinois,2020,197539.92996397812
Illinois,2021,218185.11191757777
Illinois,2022,238759.3188263706
Illinois,2023,245951.3512669328
Indiana,2019,153847.59281184184
Indiana,2020,165629.76786835873
Indiana,2021,190539.25958349762
Indiana,2022,216156.35436655532
Indiana,2023,225213.5706585029
Iowa,2019,156302.86562600933
Iowa,2020,163809.38989043995
Iowa,2021,179108.9095200134
Iowa,2022,198128.03394806854
Iowa,2023,205687.00290549838
Kansas,2019,149677.04957220142
Kansas,2020,161044.73464959458
Kansas,2021,180922.0084199035
Kansas,2022,203291.7465202566
Kansas,2023,213852.50202302818
Kentucky,2019,147344.8378047078
Kentucky,2020,158192.50131596837
Kentucky,2021,178830.75902184946
Kentucky,2022,198302.23320815407
Kentucky,2023,207669.15256992346
Louisiana,2019,187078.79197297167
Louisiana,2020,196270.39380262556
Louisiana,2021,206340.79723731184
Louisiana,2022,217619.98290925575
Louisiana,2023,212905.62355931048
Maine,2019,228728.26095987298
Maine,2020,249330.94550724336
Maine,2021,301097.69057821995
Maine,2022,346417.50649942504
Maine,2023,367356.53268168983
Maryland,2019,312139.4184323296
Maryland,2020,326901.7105542319
Maryland,2021,365331.3463300295
Maryland,2022,392780.99567310215
Maryland,2023,401930.27913298056
Massachusetts,2019,419613.8367539312
Massachusetts,2020,441124.23044056725
Massachusetts,2021,502310.31611806265
Massachusetts,2022,554118.3878114171
Massachusetts,2023,575591.7240176544
Michigan,2019,164658.8239068334
Michigan,2020,175244.53553031327
Michigan,2021,201040.23230957953
Michigan,2022,221629.34942567095
Michigan,2023,227290.6668601655
Minnesota,2019,246372.92274828182
Minnesota,2020,260304.70194321402
Minnesota,2021,292067.7148959238
Minnesota,2022,317913.89098195353
Minnesota,2023,320303.46087406843
Mississippi,2019,142449.23956627
Mississippi,2020,149378.48711668764
Mississippi,2021,166692.88226065805
Mississippi,2022,183477.07071144457
Mississippi,2023,182278.73207459008
Missouri,2019,164835.3016670669
Missouri,2020,175951.96674127007
Missouri,2021,201944.55704064973
Missouri,2022,227800.55271065506
Missouri,2023,236668.1418127957
Montana,2019,260265.71409622664
Montana,2020,281484.97778287623
Montana,2021,350653.9812022071
Montana,2022,423840.2815297647
Montana,2023,425394.40822307416
Nebraska,2019,176009.08286938505
Nebraska,2020,187858.27273999495
Nebraska,2021,212056.10234979494
Nebraska,2022,235534.90242685983
Nebraska,2023,247553.66838214663
Nevada,2019,302736.079038187
Nevada,2020,314358.2823734621
Nevada,2021,365573.30091335136
Nevada,2022,438646.2881123172
Nevada,2023,420342.6914340186
New Hampshire,2019,277985.1806434812
New Hampshire,2020,299314.8219025375
New Hampshire,2021,355332.8522081261
New Hampshire,2022,408332.22499173693
New Hampshire,2023,435117.0172381811
New Jersey,2019,342606.76854887506
New Jersey,2020,361636.7542383189
New Jersey,2021,410688.0184655606
New Jersey,2022,453529.24371758295
New Jersey,2023,479951.54061996914
New Mexico,2019,194098.26360888718
New Mexico,2020,209402.08879014725
New Mexico,2021,241866.74912538077
New Mexico,2022,276369.79828386125
New Mexico,2023,288598.54040381225
New York,2019,337015.5084178072
New York,2020,353588.3141207029
New York,2021,391937.54593510093
New York,2022,427218.2140732028
New York,2023,436144.43010701536
North Carolina,2019,204918.41658144526
North Carolina,2020,220620.57094330658
North Carolina,2021,259788.7348029602
North Carolina,2022,308352.5415945466
North Carolina,2023,319954.1834483551
North Dakota,2019,218084.29532467993
North Dakota,2020,225002.71995296373
North Dakota,2021,235611.33659630656
North Dakota,2022,252302.6835898006
North Dakota,2023,254876.1848489911
Ohio,2019,148249.2088190816
Ohio,2020,158820.66739937302
Ohio,2021,181228.68937520843
Ohio,2022,200344.92564004907
Ohio,2023,209395.760749994
Oklahoma,2019,138796.50916766853
Oklahoma,2020,148878.04060691476
Oklahoma,2021,169104.24885235567
Oklahoma,2022,192354.8521492751
Oklahoma,2023,200934.91878007507
Oregon,2019,355000.5401520719
Oregon,2020,376712.6276508056
Oregon,2021,441227.22330029955
Oregon,2022,493165.61826212937
Oregon,2023,484098.03106428887
Pennsylvania,2019,186177.5262618503
Pennsylvania,2020,198677.63060223812
Pennsylvania,2021,224325.4054693002
Pennsylvania,2022,245049.0944493479
Pennsylvania,2023,253503.00379943007
Rhode Island,2019,291008.46073676494
Rhode Island,2020,310113.2613222928
Rhode Island,2021,360208.04178815446
Rhode Island,2022,403728.1078911435
Rhode Island,2023,425058.016313352
South Carolina,2019,190856.91109213766
South Carolina,2020,203911.35474096847
South Carolina,2021,234710.95728423374
South Carolina,2022,277321.28028349514
South Carolina,2023,289604.3291171243
South Dakota,2019,202495.75445792297
South Dakota,2020,215192.63020938225
South Dakota,2021,244860.79933685495
South Dakota,2022,282799.23088012385
South Dakota,2023,291021.6285565238
Tennessee,2019,201696.82794702062
